sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Rahul,,"Yeah, I checked it.",Information,
2,1,Rahul,,Overall it looks clean.,Discussion,
3,1,Rahul,,I just think the navigation bar is slightly crowded on smaller screens.,Discussion,
4,2,Priya,,That's fair.,Discussion,
5,2,Priya,,I can reduce the number of visible menu items and move the rest into a hamburger menu.,Action_Item,
6,2,Priya,,"[10:04 AM] Neha: From the backend side, we'll need to know which sections will pull dynamic data because that affects the APIs.",Discussion,
7,3,Aarav,,Good point.,Discussion,
8,3,Aarav,,"Rahul, which components are dynamic?",Discussion,
9,4,Rahul,,"The trending games section, user statistics, and recently played games.",Information,
10,5,Neha,,Perfect.,Discussion,
11,5,Neha,,I'll expose APIs for those this week.,Action_Item,
12,5,Neha,,[10:09 AM] Priya: What about the announcements banner?,Discussion,
13,5,Neha,,Should it rotate automatically?,Discussion,
14,6,Aarav,,"Yes, but let's keep the timing around five seconds.",Decision,
15,6,Aarav,,Users should also be able to pause it manually.,Decision,
16,7,Rahul,,"Accessibility-wise, that's a good idea.",Discussion,
17,7,Rahul,,"[10:14 AM] Neha: One concern—if we fetch too much data on page load, performance might suffer.",Discussion,
18,8,Rahul,,We can lazy-load sections below the fold.,Discussion,
19,9,Aarav,,Let's go with that.,Decision,
20,9,Aarav,,[10:18 AM] Priya: Should we include dark mode in the first release?,Discussion,
21,10,Rahul,,"Personally, I'd postpone it.",Discussion,
22,11,Neha,,Agreed.,Decision,
23,11,Neha,,Better to stabilize the main features first.,Discussion,
24,12,Aarav,,"Okay, dark mode moves to Phase 2.",Decision,
25,12,Aarav,,[10:25 AM] Aarav: Let's summarize.,Summary,
26,12,Aarav,,Homepage finalized.,Summary,
27,12,Aarav,,Dynamic APIs this week.,Summary,
28,12,Aarav,,Lazy loading for lower sections.,Summary,
29,12,Aarav,,Dark mode postponed.,Summary,
30,13,Meeting Ended,,10:32 AM,Summary,
