sentence_id,transcript_id,timestamp,speaker,sentence,selected_label
47437,TS3011b,00:18:28,Speaker D,"Well, t we won't support teletext which which was the third-most the second-most used function.",Information
42041,TS3007b,00:40:38,Speaker B,"Oh yeah, it's not connected to the",Discussion
13926,ES2009a,00:10:36,Speaker A,"Oh, have you been home yet? They'll be like, say something British, and you're like oh shut up family.",Information
36313,TS3004a,00:04:54,Speaker D,I can see it now.,Discussion
18795,ES2014d,00:40:06,Speaker D,"Yeah. Well, we were finding out various things in",Discussion
47248,TS3011a,00:19:07,Speaker B,They're very vu vulnerable.,Discussion
23189,IB4011,00:36:38,Speaker D,"Okay, me I put two to American Beauty",Discussion
21167,IB4002,00:07:13,Speaker C,"Yes, I'm doing a P_H_D_. Yes. Officially. .",Discussion
39857,TS3006a,00:16:19,Speaker A,we can go ahead with what we have. I will summarise the things we discussed and put it in the project folder.,Discussion
26793,IS1000b,00:03:22,Speaker B,"So I see all everybody's here, 'kay.",Discussion
9047,ES2004a,00:00:10,Speaker B,Are we we're not allowed to dim the lights so people can see that a bit better?,Information
45507,TS3009c,00:20:27,Speaker B,Well this is a terrible,Information
36616,TS3004b,00:14:59,Speaker B,I dunno. I don't have I did,Discussion
14271,ES2009c,00:15:47,Speaker B,I know. It's fun.,Discussion
16802,ES2012c,00:28:28,Speaker A,Oh no that well there's the sim my my idea was something a b probably you know a bit fatter than this but sort of tha that sorta shape so that you can just sort of ho hold it.,Information
16065,ES2011c,00:26:11,Speaker A,"talk about? Oh when we move on, you two are going to be playing with play-dough.",Action_Item
27484,IS1000d,00:23:32,Speaker A,Give it a one? Yep.,Discussion
13608,ES2008d,00:22:50,Speaker B,"Well, are we talking about on each colour combination or are we, you know, we'll like we'll have yellow and black. Is that two special colours?",Information
3685,EN2003a,00:19:36,Speaker A,I mean I think the Informatics are definitely worth asking. th there's there's C_S_T_R_ and H_C_R_C_.,Discussion
15022,ES2010b,00:27:22,Speaker C,And then add a,Discussion
12255,ES2007b,00:25:59,Speaker D,"But if it's a R_R_, it would be Real Reaction, like if it had a symbol on it.",Action_Item
