sentence_id,transcript_id,timestamp,speaker,sentence
1,EN2001a,00:00:11,Speaker A,Does anyone want to see uh Steve's feedback from the specification?
2,EN2001a,00:00:16,Speaker E,Is there much more in it than he d
3,EN2001a,00:00:16,Speaker D,I I dry-read it the last time..
4,EN2001a,00:00:18,Speaker E,Is there much more in it than he said yesterday?
5,EN2001a,00:00:21,Speaker A,"Not really, um just what he's talking about, like duplication of effort and"
6,EN2001a,00:00:28,Speaker A,"Like duplication of effort and stuff, and um yeah, he was saying that we should maybe uh think about having a prototype for week six, which is next week. Yeah."
7,EN2001a,00:00:42,Speaker A,So we should probably prioritize our packages.
8,EN2001a,00:00:46,Speaker E,"Yeah, now I'd say if for the prototype if we just like wherever possible p chunk in the stuff that we have um pre-annotated and stuff, and for the stuff that we don't have pre-annotated write like a stupid baseline, then we should probably be able to basically that means we focus on on the interface first sort of, so that we we take the the ready-made parts and just see how we get them work together in the interface the way we want and and then we have a working prototype. And then we can go back and replace pieces either by our own components or by more sophisticated compo po components of our own. So it's probably feasible. The thing is I'm away this weekend. So that's for me"
9,EN2001a,00:01:24,Speaker B,"Yeah, I mean if we just want to have um some data for the user face, could even be random data. Uh mm mm"
10,EN2001a,00:01:32,Speaker E,"Oh yeah, um yeah. No. But also I might like the the similarity thing, like my just my matrix itself for my stuff, I c I I think I can do that fairly quickly because I have the algorithms. Yeah, I think today's meeting is really the one where we where we sort of settle down the data structure and as soon as we have that, uh probably like after today's meeting, we then actually need to"
11,EN2001a,00:01:54,Speaker E,well go back first of all and look at NITE X_M_L_ to see in how far that that which we want is compatible with that which NITE X_M_L_ offers us. And then just sort of everyone make sure everyone understand the interface.
12,EN2001a,00:02:08,Speaker E,"So I think if today we decide on what data we wanna have now, and and later, maybe even today, we go and look at NITE X_M_L_ or some of us look at NITE X_M_L_ in a bit more detail, just trying to make some sense of that code and see how does the representation work in their system. And then sort of with that knowledge we should be able to then say okay, that type of NITE X_M_L_ data we wanna load into it, and this is how everyone can access it, and then we should be able to go from there."
13,EN2001a,00:02:35,Speaker A,"Hmm. Has has anyone actually looked at the Java code for the, huh? Hmm."
14,EN2001a,00:02:41,Speaker E,"I've looked looked at the documentation and n like seen enough to make me think that we want to use the NITE X_M_L_ framework because um they have a good a event model that synchronizes sort of the data and and every display element. So that takes a lot of work away from us. Sort of that would be a reason for staying within their framework and using their general classes. But beyond that I haven't looked at it at all, which is something we should really do. Who actually like for this whole discussion I mean, who of us is doing stuff that is happening on-line and who of us is doing stuff that's happening off-line? Like my data is coming c"
15,EN2001a,00:03:06,Speaker A,"Yeah, I think so."
16,EN2001a,00:03:31,Speaker C,The basic word importance is off-line as well. The combined measure might not be if we want to wait what the user has typed in into the search.
17,EN2001a,00:03:42,Speaker D,"Uh mine's gonna be mostly using the off-line. But the actual stuff it's doing will be on-line. But it won't be very um processor intensive or memory intensive, I don't think."
18,EN2001a,00:03:51,Speaker E,"So basically apart from the display module, the i the display itself, we don't have an extremely high degree of interaction between sort of our modules that create the stuff and and the interface, so the interface is mainly while it's running just working on data that's just loaded from a file, I guess."
19,EN2001a,00:04:12,Speaker A,"Yeah, I I don't know about the search functionality, that might be online. Depends how it's gonna work."
20,EN2001a,00:04:17,Speaker E,"Yeah, I know. Th Yeah, the search is I guess the search is sort of a strange beast anyway because for the search we're leaving the NITE X_M_L_ framework. Um but that's still sort of that's good. That means that at least like we don't have the type of situation where somebody has to do like a billion calculations on on data on-line. 'Cause that would make it a lot more like that would mean that our interface for the data would have to be a lot more careful about how it performs and and everything. And nobody is modifying that data at at on-line time at all it seems. Nobody's making any changes to the actual data on-line."
21,EN2001a,00:04:54,Speaker D,Don't think so.
22,EN2001a,00:04:55,Speaker E,"So that's actually making it a lot easier. That basically means our browser really is a viewer mostly, which isn't doing much with the data except for sort of selecting a piece piece of it and and displaying it."
23,EN2001a,00:05:10,Speaker D,Are we still gonna go for dumping it into a database? Are we still gonna dump it into a database?
24,EN2001a,00:05:16,Speaker E,"Well some parts relevant for the search, yes. I'd say so."
25,EN2001a,00:05:20,Speaker D,"'Cause if we are, I reckon we should all read our classes out of the database. It'll be so much easier."
26,EN2001a,00:05:26,Speaker D,"Well if we're gonna dump the part of it into a database anyway, we might as well dump all the fields we want into the database, calculate everything from there. Then we don't even have to worry that much about the underlying X_M_L_ representation. We can just query it."
27,EN2001a,00:05:43,Speaker E,"Yeah, but nobody of us is doing much of searching from the data in the on-line stage."
28,EN2001a,00:05:48,Speaker E,"And for all together, like the display itself, I think we are easier if we if it's sitting on the X_M_L_ than if it's sitting on the S_Q_L_ stuff, because if it's sitting on the X_M_L_, we have the the NITE X_M_L_ framework with all its functionality for synchronizing through all the different levels whenever there's a change, whenever something's moving forward and stuff. And we can just more or less look at their code, like how their player moves forward, and how that moving forward is represented in different windows and stuff. So I think in the actual browser itself I don't wanna sit on the S_Q_L_ if we can sit on the X_M_L_ because sitting on the X_M_L_ we have all we have so much help. And for y for like the p the calculations that we're doing apart from the search, it seems that everyone needs some special representations anyway."
29,EN2001a,00:06:33,Speaker D,"Well if we're gonna do that, we should try and store everything in in an X_M_L_ format as well."
30,EN2001a,00:06:40,Speaker E,"You mean our results? Yeah, in in the NITE X_M_L_ X_M_L_ format, so with their time stamps and stuff, so that it's easy to to tie together st things."
31,EN2001a,00:06:51,Speaker E,"What I'm like what we have to think about is if we go with this multi-level idea, like this idea that sort of if you start with a whole meeting series as one entity, as one thing that you display, as one whole sort of, that then the individual chunks of the individual meetings, whereas and then you can click on a meeting, and then sort of the meeting is the whole thing and the chunks are the individual segments, that means sort of we have multiple levels of of representation, which we probably"
32,EN2001a,00:07:23,Speaker E,"If we if we do it this way like we f we have to discuss that if we do it this way, then we should probably find some abstraction model, so that the interface in the sense like deals with it as if it's same so that the interface doesn't really have to worry whether it's a meeting in the whole meeting series or a segment within a meeting, you know what I mean? And that's probably stuff that we have to sort of like process twice then. Like for example that like the summary of a meeting within the whole meeting corpus or meeting series y is meeting series a good word for that? I don't really know what how to call it. You know what I mean, like not not the whole corpus, but every meeting that has to do with one topic. Um so in in the meeting se series so that a summary for a meeting within the meeting series, are sort of"
33,EN2001a,00:07:59,Speaker A,"Yeah, that makes sense."
34,EN2001a,00:08:06,Speaker E,compiled off-line by a summary module. And that is separate from a summary of a segment within a meeting. 'Cause I don't think we can
35,EN2001a,00:08:14,Speaker B,I'm not so sure.
36,EN2001a,00:08:14,Speaker D,"Well we don't even need to do that, 'cause if we got our information density calculated off-line, so all we do is treat the whole lot as one massive document. I mean they'll it's not gonna be so big that we can't load in a information density for every utterance. And we can just summarise based on that."
37,EN2001a,00:08:31,Speaker B,"I I thought we would just have like um one big summary um with all the uh different importance levels um displayed on it. And depending on what our um zoom level is, we just display a part of it."
38,EN2001a,00:08:48,Speaker E,So are we doing that at all levels? Are we um
39,EN2001a,00:08:51,Speaker B,And we would have one very big thing off-line. And from that we would just select what we are displaying.
40,EN2001a,00:08:58,Speaker E,And just have different like fine-grainedness levels sort of.
41,EN2001a,00:09:02,Speaker B,Yes. So for example you would um give a high value to those um sequences you want to display in the meeting series summary. And you just cut off.
42,EN2001a,00:09:11,Speaker E,"'Kay. So the only thing that yeah, so the only thing that would happen basically if I double-click let's say from the whole meeting series on a single meeting, is that the zoom level changes. Like the th the start and the end position changes and the zoom level changes."
43,EN2001a,00:09:26,Speaker B,"That was what I sh I thought, yeah. I thought."
44,EN2001a,00:09:27,Speaker D,I think you can do it on-line.
45,EN2001a,00:09:28,Speaker E,I I thought we couldn't do that. Like I was under the impression that we couldn't do that because we couldn't load the data for all that.
46,EN2001a,00:09:36,Speaker E,"But I don't know, I mean that"
47,EN2001a,00:09:38,Speaker D,"I don't think there's really much point in doing like that when it's just gonna feed off in the end the information density measure basically. And that's all calculated off-line. So what you're really doing is sorting a list, is the p computationally hard part of it."
48,EN2001a,00:09:56,Speaker E,So I'm s not sure if I got it. I was
49,EN2001a,00:09:58,Speaker D,"Well like the ideas we're calculating are information density all off-line first for every utterance in the whole corpus, right? So what you do is you say if you're looking at a series of meetings, you just say well our whole document comprises of all these stuck together. And then all you have to do is sort them by j information density. Like maybe weighted with the search terms, and then extract them. I don't think it's too slow to do on-line, to be honest."
50,EN2001a,00:10:26,Speaker E,"Okay. I wa I was just worried about the total memory complexity of it. But I I completely admit, I mean, I just sort of like th took that from some thing that Jonathan once said about not loading everything. But maybe I was just wrong about it. How many utterances w"
51,EN2001a,00:10:39,Speaker B,"But I think the m difference might be that we want just want to have um the words. And that's not so much what he meant with not possibly loading everything was that you m um load all the uh annotation stuff, all the sound files, all"
52,EN2001a,00:10:51,Speaker E,"Yeah, and I w yeah. Yeah. Yeah. Yeah. So what we have is we would have a word."
53,EN2001a,00:11:02,Speaker E,Like we would have words with some priority levels. And they would basically be because even the selection would would the summaries automatically feed from just how prioritized an individual word or how indiv uh prioritized an individual utterance is? Or i are the summaries sort of refined from it and made by a machine to make sentences and stuff? Or are they just sort of taking out the words with the highest priority and then the words of the second highest priority?
54,EN2001a,00:11:25,Speaker D,"Well, on the utterance level I was thinking. So the utterances with the highest like mean information density."
55,EN2001a,00:11:28,Speaker E,And the u okay.
56,EN2001a,00:11:32,Speaker E,"Are we doing it on th the whole thing on the utterance level? Or are we doing it on word level, like the information density calculation?"
57,EN2001a,00:11:35,Speaker D,"Well the trouble with doing it on the word level is if you want the audio to synch up, you've got no way of getting in and extracting just that word. I mean it's impossible."
58,EN2001a,00:11:43,Speaker E,"We I think we have start and end times for words actually, but it's yeah, but it m it might s but it might sound crazy in the player. We should really maybe we can do that together at some point today that we check out how the player works. But there's maybe some merit in altogether doing it on an utterance level in the end."
59,EN2001a,00:11:45,Speaker D,"For every single word? Oh, okay."
60,EN2001a,00:11:53,Speaker D,I don't think that will do it. We'll have to buffer it.
61,EN2001a,00:11:55,Speaker B,"Um I r I I'm getting quite lost um at the moment because um w what's um our difference between the um se um uh the importance measure and the skimming? I mean, do we do both or is it the same thing?"
62,EN2001a,00:12:14,Speaker D,Well the skimming's gonna use the importance.
63,EN2001a,00:12:18,Speaker D,But like at first it's just gonna be I_D_F_.
64,EN2001a,00:12:18,Speaker B,So but when when we talk about summaries you talk about this uh abo about skimming and not about
65,EN2001a,00:12:24,Speaker D,"Well mostly skimming, yeah."
66,EN2001a,00:12:26,Speaker E,"Well but also about the displays, I mean the displays in the in the text body, in the in the latest draft that we had sort of we came up with the idea that it isn't displaying utterance for utterance, but it's also displaying uh a summarised version in you know, like below the below the graph, the part. Maybe"
67,EN2001a,00:12:46,Speaker B,"Yeah right, isn't that the skimming? Isn't that the skimming?"
68,EN2001a,00:12:49,Speaker E,"Oh yeah, f it's just like there there's like audio skimming and there's displayed skimming."
69,EN2001a,00:12:54,Speaker B,"Yeah, but it use the same data."
70,EN2001a,00:12:57,Speaker E,"Yeah. Ma maybe there's some merit of going altogether for utterance level and not even bother to calculate I mean if you have to do it internally, then you can do it. But maybe like not even store the importance levels for individual words and just sort of rank utterances as a whole."
71,EN2001a,00:13:12,Speaker D,"Well the nice thing about that is it will automatically be in sentences. Well more or less. So it will make more sense, and if you get just extract words."
72,EN2001a,00:13:19,Speaker E,"'Cause it it might be better skimming and less memory required at the same time. And I mean if you if you know how to do it for individual words, then you can just in the worst case, if you can't find anything else, just sort of make the mean of the words over the utterance. You know what I mean?"
73,EN2001a,00:13:31,Speaker C,"I'm not quite so what it did you want to do it, i you just wanted to assign"
74,EN2001a,00:13:32,Speaker E,W it's it's
75,EN2001a,00:13:36,Speaker E,"Well what's the smallest chunk at the moment you're thinking of of assigning an importance measure to, is it a word or is it an utterance?"
76,EN2001a,00:13:42,Speaker C,Uh I thought about words.
77,EN2001a,00:13:44,Speaker E,So we're thinking of like maybe just storing it on a per utterance level.
78,EN2001a,00:13:52,Speaker E,"Because it's it's less stuff to store probably for Dave in the in the audio playing. And for in the display it's probably better if you have whole utterances than I don't know, like what it's like if you just take single words out of utterances. That probably doesn't make any sense at all, whereas if you just uh show important utterances but the utterance as a whole it makes more sense. So it doesn't actually make a difference for your algorithm, 'cause it just means that if you're working on a word level, then we just mean it over the utterance."
79,EN2001a,00:14:15,Speaker B,"And, yeah, I think we also thought about combining that measure with um the measures I get from um s uh hot-spots and so on. So that would also be on utterance level, I think. I think."
80,EN2001a,00:14:25,Speaker E,They are on
81,EN2001a,00:14:29,Speaker E,"Oh so that's good anyway then, yeah. Because that makes it a lot easier than to t put it on utterance level."
82,EN2001a,00:14:30,Speaker D,I see it.
83,EN2001a,00:14:32,Speaker D,But it'll need to be calculated at word level though because otherwise there won't be enough occurrences of the terms to make any meaningful sense.
84,EN2001a,00:14:39,Speaker E,"Oh yeah. No but I mean like how how Jasmine does it internally I don't know, but it's probably, yeah, you probably have to work on word levels for importance. But there should be ways of easily going from a word level to an utterance level. Okay."
85,EN2001a,00:14:49,Speaker D,"Yeah, I reckon you can just mean it over the sentence."
86,EN2001a,00:14:50,Speaker C,"Yeah, but how about those words which don't carry any meaning at all, the um and uhs and something like that."
87,EN2001a,00:15:01,Speaker C,"Because if we if we average average over over a whole utterance all the words, and there are quite unimportant words in there, but quite important words as well, I think we should just disregard the the"
88,EN2001a,00:15:01,Speaker D,I think we should filter them.
89,EN2001a,00:15:17,Speaker D,Maybe we should have like um a cut-off. So it a w word only gets a value if it's above a certain threshold. So anything that has less than say nought point five importance gets assigned to zero.
90,EN2001a,00:15:31,Speaker E,"Well we do a pre-filtering of sort of the whole thing, sort of like but that, like the problem with that is it's easy to do in the text level. But that would mean it would still play the uh in your audio, unless we sort of also store what pieces we cut out for the audio."
91,EN2001a,00:15:33,Speaker D,"Yeah, that's the other th"
92,EN2001a,00:15:48,Speaker E,"Yeah. I think before we can like answer that specific question how we c deal with that, it's probably good for us to look at what the audio player is capable of doing."
93,EN2001a,00:15:58,Speaker D,I think we'll have to buffer the audio. But I don't think it will be very hard. I think it would be like an hour or two's work.
94,EN2001a,00:16:04,Speaker E,So what do you mean by buffering? Like you think directly feeding
