sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Speaker 1,,That's great.,Discussion,
1,1,Rahul,,"Yeah, I checked it.",Information,
2,1,Rahul,,Overall it looks clean.,Discussion,
3,1,Rahul,,I just think the navigation bar is slightly crowded on smaller screens.,Discussion,
4,2,Priya,,That's fair.,Discussion,
5,2,Priya,,I can reduce the number of visible menu items and move the rest into a hamburger menu.,Action_Item,
6,2,Priya,,"[10:04 AM] Neha: From the backend side, we'll need to know which sections will pull dynamic data because that affects the APIs.",Discussion,
7,3,Aarav,,Good point.,Discussion,
8,3,Aarav,,"Rahul, which components are dynamic?",Discussion,
9,4,Rahul,,"The trending games section, user statistics, and recently played games.",Information,
10,5,Neha,,Perfect.,Discussion,
11,5,Neha,,I'll expose APIs for those this week.,Action_Item,
12,5,Neha,,[10:09 AM] Priya: What about the announcements banner?,Discussion,
13,5,Neha,,Should it rotate automatically?,Discussion,
14,6,Aarav,,"Yes, but let's keep the timing around five seconds.",Decision,
15,6,Aarav,,Users should also be able to pause it manually.,Decision,
16,7,Rahul,,"Accessibility-wise, that's a good idea.",Discussion,
17,7,Rahul,,"[10:14 AM] Neha: One concern—if we fetch too much data on page load, performance might suffer.",Discussion,
18,8,Rahul,,We can lazy-load sections below the fold.,Discussion,
19,9,Aarav,,Let's go with that.,Decision,
20,9,Aarav,,[10:18 AM] Priya: Should we include dark mode in the first release?,Discussion,
21,10,Rahul,,"Personally, I'd postpone it.",Discussion,
22,11,Neha,,Agreed.,Decision,
23,11,Neha,,Better to stabilize the main features first.,Discussion,
24,12,Aarav,,"Okay, dark mode moves to Phase 2.",Decision,
25,12,Aarav,,[10:25 AM] Aarav: Let's summarize.,Summary,
26,12,Aarav,,Homepage finalized.,Summary,
27,12,Aarav,,Dynamic APIs this week.,Summary,
28,12,Aarav,,Lazy loading for lower sections.,Summary,
29,12,Aarav,,Dark mode postponed.,Summary,
30,13,Meeting Ended,,10:32 AM,Summary,
1,1,Riya,,Thanks for joining everyone.,Information,
2,1,Riya,,"We're less than a month away from the tech fest, so today we need to lock the major responsibilities.",Information,
3,2,Karan,,"The auditorium booking is confirmed, but we still don't have approval for the seminar hall.",Information,
4,3,Mehul,,Does that affect the coding competition?,Discussion,
5,4,Karan,,Slightly.,Information,
6,4,Karan,,"If we don't get the seminar hall, we'll have to use two classrooms instead.",Discussion,
7,5,Simran,,"That's manageable, but we'll need to update the promotional posters.",Action_Item,
8,6,Riya,,Okay.,Discussion,
9,6,Riya,,What about sponsors?,Discussion,
10,7,Mehul,,I've spoken with four companies.,Information,
11,7,Mehul,,Two have already shown interest.,Information,
12,7,Mehul,,One of them wants branding on stage and social media mentions.,Information,
13,8,Simran,,That's reasonable.,Discussion,
14,8,Simran,,We usually offer that in our Gold Sponsor package.,Information,
15,9,Riya,,Great.,Discussion,
16,9,Riya,,Let's proceed.,Decision,
17,10,Karan,,We also need volunteers.,Information,
18,10,Karan,,Right now we only have 18 registrations.,Information,
19,11,Riya,,We need at least 35.,Decision,
20,12,Simran,,I'll post another recruitment announcement tonight.,Action_Item,
21,13,Mehul,,One more thing.,Discussion,
22,13,Mehul,,Should we arrange participant certificates digitally or printed?,Discussion,
23,14,Karan,,Digital would save both time and budget.,Discussion,
24,15,Riya,,Agreed.,Decision,
1,1,Vivek,,I've collected around 200 meeting transcripts.,Information,
2,2,Sana,,Are they cleaned?,Discussion,
3,3,Vivek,,Not completely.,Information,
4,3,Vivek,,Some still have filler words and timestamps.,Information,
5,4,Rohit,,"Actually, I think we should keep some filler words.",Discussion,
6,4,Rohit,,Real meetings aren't perfectly structured.,Discussion,
7,5,Ananya,,Exactly.,Discussion,
8,5,Ananya,,It'll help the model generalize better.,Information,
9,5,Ananya,,[3:06 PM] Sana: What about the output format?,Discussion,
10,7,I'm thinking,,Summary Key Decisions Action Items Participants,Discussion,
11,8,Ananya,,Sounds good.,Decision,
12,9,Vivek,,Should we fine-tune an existing model or use prompt engineering?,Discussion,
13,10,Rohit,,Initially prompt engineering.,Decision,
14,11,Sana,,Then later fine-tuning if needed.,Decision,
15,11,Sana,,[3:15 PM] Ananya: Dataset size?,Discussion,
16,12,Vivek,,"Currently around 90,000 words.",Information,
17,13,Ananya,,Let's target at least 300 transcripts.,Decision,
18,14,Everyone,,Agreed.,Decision,
1,1,Aditya,,Morning everyone.,Information,
2,1,Aditya,,Let's start with weekly updates.,Information,
3,2,Sneha,,Operations have been smooth except for delayed vendor payments.,Information,
4,3,Aditya,,Any reason?,Discussion,
5,4,Sneha,,Finance approvals took longer than expected.,Information,
6,5,Aman,,"Product-wise, we've released the new dashboard.",Information,
7,5,Aman,,Users are responding positively.,Information,
8,6,Ishita,,"Yes, although several users requested export-to-PDF functionality.",Information,
9,7,Aditya,,Is that technically feasible?,Discussion,
10,8,Aman,,"Yes, probably within the next sprint.",Discussion,
11,9,Sneha,,Customer support tickets also decreased by around 18% this week.,Information,
