sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes,transcript_id
1,1.0,Date,,24 July 2026 Participants Aarav (Project Manager) Neha (ML Engineer) Rahul (Backend Developer) Priya (Frontend Developer) Ananya (QA Engineer),Information,,
2,2.0,Aarav,32405.0,Good morning everyone.,Information,,
3,3.0,Priya,32412.0,Morning.,Information,,
4,4.0,Rahul,32418.0,Good morning.,Information,,
5,5.0,Aarav,32425.0,Today's goal is to finalize the feature list for Sprint 4.,Information,,
6,6.0,Neha,32450.0,The meeting summarization model has reached 91% evaluation accuracy.,Information,,
7,7.0,Rahul,32475.0,The export APIs are also ready.,Information,,
8,8.0,Aarav,32500.0,Are there any blockers before release?,Discussion,,
9,9.0,Priya,32525.0,The PDF export layout still needs some polishing.,Information,,
10,10.0,Ananya,32560.0,QA also found two UI alignment issues.,Information,,
11,11.0,Aarav,32585.0,Can both be fixed by tomorrow?,Discussion,,
12,12.0,Priya,32600.0,Yes.,Decision,,
13,13.0,Ananya,32615.0,"Yes, I'll verify everything once the fixes are merged.",Action_Item,,
14,14.0,Rahul,32640.0,I think transcript loading is still slightly slow.,Discussion,,
15,15.0,Neha,32665.0,Lazy loading should solve that.,Discussion,,
16,16.0,Aarav,32695.0,"Okay, we'll implement lazy loading in this sprint.",Decision,,
17,17.0,Priya,32720.0,Should dark mode remain in this release?,Discussion,,
18,18.0,Rahul,32745.0,I'd postpone it.,Discussion,,
19,19.0,Neha,32770.0,I agree.,Decision,,
20,20.0,Aarav,32785.0,Then dark mode moves to Sprint 5.,Decision,,
21,21.0,Aarav,32815.0,Rahul will finish lazy loading.,Action_Item,,
22,22.0,Rahul,32832.0,Sure.,Decision,,
23,23.0,Aarav,32845.0,Priya will complete PDF improvements.,Action_Item,,
24,24.0,Priya,32862.0,Done.,Decision,,
25,25.0,Aarav,32875.0,Ananya will complete regression testing.,Action_Item,,
26,26.0,Ananya,32892.0,I'll finish it by tomorrow evening.,Action_Item,,
27,27.0,Aarav,32915.0,Let's summarize today's meeting.,Summary,,
28,28.0,Aarav,32930.0,Feature list finalized.,Summary,,
29,29.0,Aarav,32940.0,Dark mode postponed.,Summary,,
30,30.0,Aarav,32950.0,Performance optimization added to Sprint 4.,Summary,,
31,31.0,Aarav,32965.0,Meeting adjourned.,Summary,,
2,2.0,Simran,39620.0,Thanks everyone for joining.,Information,,
3,3.0,Rohan,39640.0,We want users to receive meeting summaries automatically by email.,Information,,
4,4.0,Kunal,39665.0,That's technically possible.,Information,,
5,5.0,Sneha,39685.0,Should users be able to customize the email template?,Discussion,,
6,6.0,Rohan,39710.0,"Yes, customization would be useful.",Decision,,
7,7.0,Simran,39740.0,Should summaries also include action items?,Discussion,,
8,8.0,Rohan,39765.0,Definitely.,Decision,,
9,9.0,Kunal,39785.0,We can also attach the transcript as a PDF.,Discussion,,
10,10.0,Sneha,39810.0,That would improve usability.,Discussion,,
11,11.0,Simran,39840.0,Do we need multilingual support?,Discussion,,
12,12.0,Rohan,39860.0,Not in Phase 1.,Decision,,
13,13.0,Simran,39885.0,"Okay, multilingual support will be moved to the next release.",Decision,,
14,14.0,Kunal,39915.0,I'll implement automatic email delivery.,Action_Item,,
15,15.0,Sneha,39938.0,I'll design the email template.,Action_Item,,
16,16.0,Simran,39960.0,I'll prepare the requirement document.,Action_Item,,
17,17.0,Rohan,39995.0,Perfect.,Summary,,
18,18.0,Simran,40015.0,Today's decisions are finalized.,Summary,,
19,19.0,Simran,40030.0,Meeting closed.,Summary,,
1,1.0,Speaker 1,,That's great.,Discussion,,
1,1.0,Rahul,,"Yeah, I checked it.",Information,,
2,1.0,Rahul,,Overall it looks clean.,Discussion,,
3,1.0,Rahul,,I just think the navigation bar is slightly crowded on smaller screens.,Discussion,,
4,2.0,Priya,,That's fair.,Discussion,,
5,2.0,Priya,,I can reduce the number of visible menu items and move the rest into a hamburger menu.,Action_Item,,
6,2.0,Priya,,"[10:04 AM] Neha: From the backend side, we'll need to know which sections will pull dynamic data because that affects the APIs.",Discussion,,
7,3.0,Aarav,,Good point.,Discussion,,
8,3.0,Aarav,,"Rahul, which components are dynamic?",Discussion,,
9,4.0,Rahul,,"The trending games section, user statistics, and recently played games.",Information,,
11,5.0,Neha,,I'll expose APIs for those this week.,Action_Item,,
12,5.0,Neha,,[10:09 AM] Priya: What about the announcements banner?,Discussion,,
13,5.0,Neha,,Should it rotate automatically?,Discussion,,
14,6.0,Aarav,,"Yes, but let's keep the timing around five seconds.",Decision,,
15,6.0,Aarav,,Users should also be able to pause it manually.,Decision,,
16,7.0,Rahul,,"Accessibility-wise, that's a good idea.",Discussion,,
17,7.0,Rahul,,"[10:14 AM] Neha: One concern—if we fetch too much data on page load, performance might suffer.",Discussion,,
18,8.0,Rahul,,We can lazy-load sections below the fold.,Discussion,,
19,9.0,Aarav,,Let's go with that.,Decision,,
20,9.0,Aarav,,[10:18 AM] Priya: Should we include dark mode in the first release?,Discussion,,
21,10.0,Rahul,,"Personally, I'd postpone it.",Discussion,,
22,11.0,Neha,,Agreed.,Decision,,
23,11.0,Neha,,Better to stabilize the main features first.,Discussion,,
24,12.0,Aarav,,"Okay, dark mode moves to Phase 2.",Decision,,
25,12.0,Aarav,,[10:25 AM] Aarav: Let's summarize.,Summary,,
26,12.0,Aarav,,Homepage finalized.,Summary,,
27,12.0,Aarav,,Dynamic APIs this week.,Summary,,
28,12.0,Aarav,,Lazy loading for lower sections.,Summary,,
30,13.0,Meeting Ended,,10:32 AM,Summary,,
1,1.0,Riya,,Thanks for joining everyone.,Information,,
2,1.0,Riya,,"We're less than a month away from the tech fest, so today we need to lock the major responsibilities.",Information,,
3,2.0,Karan,,"The auditorium booking is confirmed, but we still don't have approval for the seminar hall.",Information,,
4,3.0,Mehul,,Does that affect the coding competition?,Discussion,,
5,4.0,Karan,,Slightly.,Information,,
6,4.0,Karan,,"If we don't get the seminar hall, we'll have to use two classrooms instead.",Discussion,,
7,5.0,Simran,,"That's manageable, but we'll need to update the promotional posters.",Action_Item,,
8,6.0,Riya,,Okay.,Discussion,,
9,6.0,Riya,,What about sponsors?,Discussion,,
10,7.0,Mehul,,I've spoken with four companies.,Information,,
11,7.0,Mehul,,Two have already shown interest.,Information,,
12,7.0,Mehul,,One of them wants branding on stage and social media mentions.,Information,,
13,8.0,Simran,,That's reasonable.,Discussion,,
14,8.0,Simran,,We usually offer that in our Gold Sponsor package.,Information,,
15,9.0,Riya,,Great.,Discussion,,
16,9.0,Riya,,Let's proceed.,Decision,,
17,10.0,Karan,,We also need volunteers.,Information,,
18,10.0,Karan,,Right now we only have 18 registrations.,Information,,
19,11.0,Riya,,We need at least 35.,Decision,,
20,12.0,Simran,,I'll post another recruitment announcement tonight.,Action_Item,,
21,13.0,Mehul,,One more thing.,Discussion,,
22,13.0,Mehul,,Should we arrange participant certificates digitally or printed?,Discussion,,
23,14.0,Karan,,Digital would save both time and budget.,Discussion,,
1,1.0,Vivek,,I've collected around 200 meeting transcripts.,Information,,
2,2.0,Sana,,Are they cleaned?,Discussion,,
3,3.0,Vivek,,Not completely.,Information,,
4,3.0,Vivek,,Some still have filler words and timestamps.,Information,,
5,4.0,Rohit,,"Actually, I think we should keep some filler words.",Discussion,,
6,4.0,Rohit,,Real meetings aren't perfectly structured.,Discussion,,
7,5.0,Ananya,,Exactly.,Discussion,,
8,5.0,Ananya,,It'll help the model generalize better.,Information,,
9,5.0,Ananya,,[3:06 PM] Sana: What about the output format?,Discussion,,
10,7.0,I'm thinking,,Summary Key Decisions Action Items Participants,Discussion,,
11,8.0,Ananya,,Sounds good.,Decision,,
12,9.0,Vivek,,Should we fine-tune an existing model or use prompt engineering?,Discussion,,
13,10.0,Rohit,,Initially prompt engineering.,Decision,,
14,11.0,Sana,,Then later fine-tuning if needed.,Decision,,
15,11.0,Sana,,[3:15 PM] Ananya: Dataset size?,Discussion,,
16,12.0,Vivek,,"Currently around 90,000 words.",Information,,
17,13.0,Ananya,,Let's target at least 300 transcripts.,Decision,,
1,1.0,Aditya,,Morning everyone.,Information,,
2,1.0,Aditya,,Let's start with weekly updates.,Information,,
3,2.0,Sneha,,Operations have been smooth except for delayed vendor payments.,Information,,
4,3.0,Aditya,,Any reason?,Discussion,,
5,4.0,Sneha,,Finance approvals took longer than expected.,Information,,
6,5.0,Aman,,"Product-wise, we've released the new dashboard.",Information,,
7,5.0,Aman,,Users are responding positively.,Information,,
8,6.0,Ishita,,"Yes, although several users requested export-to-PDF functionality.",Information,,
9,7.0,Aditya,,Is that technically feasible?,Discussion,,
10,8.0,Aman,,"Yes, probably within the next sprint.",Discussion,,
11,9.0,Sneha,,Customer support tickets also decreased by around 18% this week.,Information,,
12,10.0,Aditya,,That's encouraging.,Discussion,,
13,11.0,Ishita,,Most remaining tickets are feature requests rather than bugs.,Information,,
14,12.0,Aditya,,Excellent.,Discussion,,
15,13.0,Let's prioritize,,Export to PDF.,Action_Item,,
16,13.0,Let's prioritize,,Mobile optimization.,Action_Item,,
17,13.0,Let's prioritize,,Analytics improvements.,Action_Item,,
18,13.0,Let's prioritize,,Meeting concluded after 28 minutes.,Summary,,
1,1.0,Kavya,,Hi everyone.,Information,,
2,1.0,Kavya,,Let's do a quick progress check before tomorrow's mentor meeting.,Information,,
3,2.0,Nikhil,,I've completed the data preprocessing scripts.,Information,,
4,3.0,Arjun,,Nice.,Discussion,,
5,3.0,Arjun,,Any missing values left?,Discussion,,
6,4.0,Nikhil,,Around 2%.,Information,,
7,4.0,Nikhil,,I'm handling them using median imputation.,Information,,
8,5.0,Pooja,,I've started exploratory data analysis.,Information,,
9,5.0,Pooja,,Some interesting correlations showed up.,Information,,
11,6.0,Kavya,,Can you prepare visualizations as well?,Action_Item,,
12,7.0,Pooja,,"Yes, by this evening.",Action_Item,,
13,8.0,Arjun,,I worked on the model pipeline yesterday.,Information,,
14,8.0,Arjun,,Random Forest is giving around 88% accuracy.,Information,,
15,9.0,Kavya,,Did you compare it with XGBoost?,Discussion,,
16,10.0,Arjun,,Not yet.,Information,,
17,11.0,Kavya,,Please do that before tomorrow.,Action_Item,,
18,12.0,Nikhil,,Should we also prepare a presentation?,Discussion,,
20,13.0,Kavya,,Our mentor prefers concise slides.,Information,,
21,14.0,Pooja,,I'll take care of the design.,Action_Item,,
22,15.0,Arjun,,I'll prepare the results section.,Action_Item,,
24,16.0,Kavya,,Let's review everything tomorrow morning before the meeting.,Summary,,
1,1.0,Aarav,36005.0,"Good morning, everyone.",Information,,
4,4.0,Priya,36015.0,"Morning, everyone.",Information,,
5,5.0,Ananya,36020.0,"Hi, everyone.",Information,,
6,6.0,Aarav,36030.0,Let's begin.,Information,,
7,6.0,Aarav,36030.0,Today's objective is to review the progress from last week's sprint and finalize the tasks for the upcoming release.,Information,,
8,7.0,Rahul,36055.0,"From the backend side, the transcript upload API has been completed.",Information,,
9,7.0,Rahul,36055.0,We also fixed the authentication issue that users reported last week.,Information,,
11,8.0,Aarav,36084.0,Were all the reported bugs resolved?,Discussion,,
12,9.0,Rahul,36095.0,Almost all of them.,Information,,
13,9.0,Rahul,36095.0,Two edge cases related to large file uploads are still pending.,Information,,
14,10.0,Aarav,36118.0,"Okay, we'll come back to those.",Decision,,
15,11.0,Neha,36135.0,The meeting summarization model is performing better after the latest prompt optimization.,Information,,
16,11.0,Neha,36135.0,Accuracy has improved during our internal evaluation.,Information,,
17,12.0,Aarav,36167.0,Did you test it on longer meeting transcripts?,Discussion,,
19,13.0,Neha,36178.0,"Meetings up to thirty minutes are working well, but summaries become slightly inconsistent for recordings longer than an hour.",Information,,
20,14.0,Priya,36215.0,Would chunking the transcript help?,Discussion,,
21,15.0,Neha,36229.0,"Yes, that's exactly what we're planning to test this week.",Action_Item,,
22,16.0,Aarav,36260.0,Good suggestion.,Discussion,,
23,17.0,Ananya,36270.0,"From the QA side, we've completed testing on Chrome and Edge browsers.",Information,,
