sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
1,1,Date,,24 July 2026 Participants Aarav (Project Manager) Neha (ML Engineer) Rahul (Backend Developer) Priya (Frontend Developer) Ananya (QA Engineer),Information,
2,2,Aarav,32405.0,Good morning everyone.,Information,
3,3,Priya,32412.0,Morning.,Information,
4,4,Rahul,32418.0,Good morning.,Information,
5,5,Aarav,32425.0,Today's goal is to finalize the feature list for Sprint 4.,Information,
6,6,Neha,32450.0,The meeting summarization model has reached 91% evaluation accuracy.,Information,
7,7,Rahul,32475.0,The export APIs are also ready.,Information,
8,8,Aarav,32500.0,Are there any blockers before release?,Discussion,
9,9,Priya,32525.0,The PDF export layout still needs some polishing.,Information,
10,10,Ananya,32560.0,QA also found two UI alignment issues.,Information,
11,11,Aarav,32585.0,Can both be fixed by tomorrow?,Discussion,
12,12,Priya,32600.0,Yes.,Decision,
13,13,Ananya,32615.0,"Yes, I'll verify everything once the fixes are merged.",Action_Item,
14,14,Rahul,32640.0,I think transcript loading is still slightly slow.,Discussion,
15,15,Neha,32665.0,Lazy loading should solve that.,Discussion,
16,16,Aarav,32695.0,"Okay, we'll implement lazy loading in this sprint.",Decision,
17,17,Priya,32720.0,Should dark mode remain in this release?,Discussion,
18,18,Rahul,32745.0,I'd postpone it.,Discussion,
19,19,Neha,32770.0,I agree.,Decision,
20,20,Aarav,32785.0,Then dark mode moves to Sprint 5.,Decision,
21,21,Aarav,32815.0,Rahul will finish lazy loading.,Action_Item,
22,22,Rahul,32832.0,Sure.,Decision,
23,23,Aarav,32845.0,Priya will complete PDF improvements.,Action_Item,
24,24,Priya,32862.0,Done.,Decision,
25,25,Aarav,32875.0,Ananya will complete regression testing.,Action_Item,
26,26,Ananya,32892.0,I'll finish it by tomorrow evening.,Action_Item,
27,27,Aarav,32915.0,Let's summarize today's meeting.,Summary,
28,28,Aarav,32930.0,Feature list finalized.,Summary,
29,29,Aarav,32940.0,Dark mode postponed.,Summary,
30,30,Aarav,32950.0,Performance optimization added to Sprint 4.,Summary,
31,31,Aarav,32965.0,Meeting adjourned.,Summary,
2,2,Simran,39620.0,Thanks everyone for joining.,Information,
3,3,Rohan,39640.0,We want users to receive meeting summaries automatically by email.,Information,
4,4,Kunal,39665.0,That's technically possible.,Information,
5,5,Sneha,39685.0,Should users be able to customize the email template?,Discussion,
6,6,Rohan,39710.0,"Yes, customization would be useful.",Decision,
7,7,Simran,39740.0,Should summaries also include action items?,Discussion,
8,8,Rohan,39765.0,Definitely.,Decision,
9,9,Kunal,39785.0,We can also attach the transcript as a PDF.,Discussion,
10,10,Sneha,39810.0,That would improve usability.,Discussion,
11,11,Simran,39840.0,Do we need multilingual support?,Discussion,
12,12,Rohan,39860.0,Not in Phase 1.,Decision,
13,13,Simran,39885.0,"Okay, multilingual support will be moved to the next release.",Decision,
